name,phone,address,rating,website,google_maps_url,city,business_type,contacted
Gravity Fitness Studio,9841862084,"
K-5, second Floor, Vinyagapuram, 1st, Main Rd, opp. 70MM showroom, MMDA Colony, Arumbakkam, Chennai, Tamil Nadu 600106",,None,"https://www.google.com/maps/place/Gravity+Fitness+Studio/@13.0654545,80.0864673,12z/data=!4m11!1m3!2m2!1sgym+in+chennai!6e1!3m6!1s0x3a526697a95aa3ad:0x48abe5960add1a72!8m2!3d13.0626576!4d80.2141777!15sCg5neW0gaW4gY2hlbm5haVoQIg5neW0gaW4gY2hlbm5haZIBA2d5beABAA!16s%2Fg%2F11dz16vnhz?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",chennai,gym,0
24X7 Fitness Studio Adyar,8098333888,"
4th floor, Poly House, Gandhi Nagar 1st Main Rd, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020",,None,"https://www.google.com/maps/place/24X7+Fitness+Studio+Adyar/@13.0491379,80.0481534,12z/data=!3m1!5s0x3a52679350e0176f:0x1743ee16ec76abfa!4m11!1m3!2m2!1sgym+in+chennai!6e1!3m6!1s0x3a52679c5a1d124b:0xe38b434eb327dad!8m2!3d13.0070071!4d80.2539489!15sCg5neW0gaW4gY2hlbm5haVoQIg5neW0gaW4gY2hlbm5haZIBA2d5bZoBJENoZERTVWhOTUc5blMwVkpRMEZuVFVSdmVEaGZkM0ZSUlJBQuABAPoBBQjtARA8!16s%2Fg%2F11v0rf1fhw?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",chennai,gym,0
Trinity Fitness Studio Unisex Gym,9884545867,"
55, Madhavaram High Rd, near Muthu Pharmacy, opposite Raj Bikes, Moolakadai, Kodungaiyur, Chennai, Tamil Nadu 600118",,"Social only: 
instagram.com","https://www.google.com/maps/place/Trinity+Fitness+Studio+%2F+Unisex+Gym/@13.0591669,80.1304473,12z/data=!4m11!1m3!2m2!1sgym+in+chennai!6e1!3m6!1s0x3a52650791e825b3:0x3630ffbe35691546!8m2!3d13.12732!4d80.241602!15sCg5neW0gaW4gY2hlbm5haVoQIg5neW0gaW4gY2hlbm5haZIBA2d5beABAA!16s%2Fg%2F11hbl0b3r4?entry=ttu&g_ep=EgoyMDI2MDMyMy4xIKXMDSoASAFQAw%3D%3D",chennai,gym,0
